Genotype,Seed_yield_g.plot_2023,Seed_yield_g.plot_2024,Seed_yield_kg.ha_2023,Seed_yield_kg.ha_2024
AB7-104,221.8965883,174.5724114,2272.54675,2280.380537
AB7-116,259.3527169,162.665594,3185.317144,1950.677016
FW4-31,273.250417,139.3074015,2842.746893,1673.478132
FW4-105,281.0256914,149.7342311,3087.488642,2009.872614
FW4-2,303.8450114,143.8755075,3032.698984,1835.180858
FW4-94,378.0601153,216.4873709,3282.929529,2385.713561
FW4-59,186.9494076,131.701365,2507.145147,1821.074971
FW4-6,318.4485872,212.9282325,2972.690924,2127.489335
FW4-77,286.0256163,146.1638428,3370.466109,1863.038846
FW4-5,305.6582412,233.910429,3130.034055,2342.504729
FW4-85,240.4743599,155.3681668,3156.276368,1964.02207
FW4-35,273.6075733,110.5307855,3059.898794,1881.454572
FW4-75,336.6424667,242.4926577,3234.617545,2413.258526
FW4-21,222.1764125,188.1953984,2978.383492,2047.17313
FW4-120,226.2614243,136.7520845,2327.073877,1825.888201
FW4-58,299.5218497,180.7673823,2971.489454,2067.944964
FW4-53,315.9710488,195.599215,2887.573654,2116.079357
FW4-60,390.0646495,169.2189208,3307.124623,2027.937115
FW4-112,190.654635,141.6158425,2609.328675,1844.339698
FW4-32,344.5959074,219.4029766,3141.308787,2133.407484
FW4-74,225.8470466,123.0052632,3170.818909,1640.377226
FW4-101,281.582127,171.9625225,2886.348794,1875.289299
FW4-122,194.4146392,161.2972757,2847.182317,2062.832858
FW4-97,286.4009743,181.6870657,3008.185846,2116.718615
FW4-40,194.8024564,103.3340301,2353.1898,1597.756077
FW4-10,357.185676,197.6316086,3261.188597,2257.169887
FW4-90,205.8775267,197.7146635,2653.498856,2193.184615
FW4-88,381.3226575,190.5439469,3125.389808,2007.706639
FW4-16,187.6702635,130.6911222,2990.772386,1784.074753
FLIP01-29C,338.3080088,178.5258718,3153.31514,2157.646965
FLIP06-69C,185.407497,112.9970859,2485.961737,1624.423195
FLIP08-33C,219.2643885,124.8879321,2651.41499,1672.95363
